Longitude,Latitude,Elevation Meters
4.229893,51.913658,1
4.229344,51.913322,1
4.22889,51.913051,1
4.227385,51.912128,1
4.227291,51.912069,1
4.227156,51.911997,1
4.227073,51.911927,2
4.227189,51.910401,7
4.227164,51.910346,7
4.227088,51.910298,7
4.226683,51.910208,7
4.226615,51.910304,7
4.226517,51.910301,7
4.226332,51.910272,6
4.227224,51.907203,7
4.227646,51.90567,6
4.227989,51.904504,6
4.228235,51.903617,6
4.228336,51.903235,7
4.228419,51.902907,6
4.228449,51.902846,6
4.228627,51.902852,7
4.228765,51.902862,7
4.228811,51.90282,6
4.228824,51.90277,6
4.228845,51.902671,6
4.228879,51.902397,6
4.228927,51.902172,6
4.228999,51.901944,6
4.229018,51.901867,6
4.228995,51.901782,7
4.229009,51.901669,7
4.229125,51.901311,7
4.229136,51.901251,7
4.229201,51.901129,6
4.229298,51.901143,6
4.229373,51.901154,6
4.229454,51.901168,7
4.229405,51.90135,11
4.229394,51.901396,12
4.229275,51.901384,10
4.228033,51.901241,7
4.227021,51.90113,7
4.224921,51.900904,6
4.224312,51.900844,9
4.223781,51.900785,11
4.223707,51.900776,11
4.223634,51.900766,11
4.223302,51.900717,10
4.222686,51.900592,10
4.222212,51.900494,10
4.222137,51.900463,10
4.222068,51.900409,9
4.221935,51.900332,8
4.221824,51.900288,7
4.221676,51.900271,7
4.2216,51.900264,7
4.221385,51.900255,8
4.22104,51.900247,9
4.220057,51.90026,8
4.219897,51.900259,8
4.219745,51.900265,8
4.219446,51.900281,8
4.21908,51.900305,7
4.218974,51.900289,7
4.218778,51.900249,7
4.218652,51.900245,7
4.21851,51.900261,7
4.218373,51.900283,7
4.218239,51.900311,7
4.217512,51.900461,6
4.216902,51.900602,7
4.21613,51.900814,8
4.215664,51.900966,6
4.215051,51.901174,5
4.214745,51.901282,5
4.214468,51.901399,5
4.214168,51.901512,4
4.2139,51.901642,6
4.213358,51.901904,5
4.212946,51.902101,4
4.212495,51.902324,4
4.21241,51.902366,4
4.212305,51.902369,4
4.212205,51.902342,3
4.212117,51.902302,2
